month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium
2014-09,2,Category B,509,507,785,71990
2014-09,2,Category C,261,252,437,49889
2014-09,2,Category D,320,318,394,4504
2014-09,2,Category E,256,252,395,74801
2014-10,1,Category A,575,570,1097,63880
2014-10,1,Category B,505,501,852,72180
2014-10,1,Category C,259,257,516,57389
2014-10,1,Category D,316,316,502,4800
2014-10,1,Category E,245,236,390,72003
2014-10,2,Category A,572,569,1092,63990
2014-10,2,Category B,507,506,822,72002
2014-10,2,Category C,267,266,416,61000
2014-10,2,Category D,317,310,431,4412
2014-10,2,Category E,242,242,335,72201
2014-11,1,Category A,703,692,1196,64900
2014-11,1,Category B,574,559,832,70890
2014-11,1,Category C,143,143,257,63701
2014-11,1,Category D,316,315,380,4290
2014-11,1,Category E,272,271,403,71300
2014-11,2,Category A,701,694,1144,67889
2014-11,2,Category B,570,560,900,72890
2014-11,2,Category C,142,134,260,65001
2014-11,2,Category D,324,322,389,4189
2014-11,2,Category E,263,263,382,73900
2014-12,1,Category A,709,703,996,67089
2014-12,1,Category B,584,582,873,74389
2014-12,1,Category C,141,126,196,60001
2014-12,1,Category D,318,314,392,4210
2014-12,1,Category E,265,257,370,76904
2014-12,2,Category A,705,699,868,65889
2014-12,2,Category B,579,572,755,74000
2014-12,2,Category C,149,149,268,52100
2014-12,2,Category D,319,270,367,4312
2014-12,2,Category E,264,264,446,73990
2015-01,1,Category A,704,698,940,66010
2015-01,1,Category B,571,570,833,75289
2015-01,1,Category C,156,155,296,55011
2015-01,1,Category D,321,319,374,4403
2015-01,1,Category E,272,265,386,75200
2015-01,2,Category A,705,703,1068,65001
2015-01,2,Category B,576,576,915,76889
2015-01,2,Category C,140,139,247,55012
2015-01,2,Category D,366,360,509,4889
2015-01,2,Category E,264,246,431,76790
2015-02,1,Category A,992,991,1295,62002
2015-02,1,Category B,724,723,959,70890
2015-02,1,Category C,185,183,311,52101
2015-02,1,Category D,287,283,384,5504
2015-02,1,Category E,181,181,288,71921
2015-02,2,Category A,988,988,1294,57199
2015-02,2,Category B,722,721,1037,66751
2015-02,2,Category C,185,185,333,53202
2015-02,2,Category D,291,290,396,5800
2015-02,2,Category E,193,193,373,67901
2015-03,1,Category A,987,986,2120,61410
2015-03,1,Category B,723,723,1239,68668
2015-03,1,Category C,186,183,315,56501
2015-03,1,Category D,289,288,343,5501
2015-03,1,Category E,175,162,322,70500
2015-03,2,Category A,987,987,2251,64700
2015-03,2,Category B,723,717,1354,71889
2015-03,2,Category C,184,175,345,59999
2015-03,2,Category D,286,286,385,5610
2015-03,2,Category E,174,172,290,72100
2015-04,1,Category A,988,970,2340,67749
2015-04,1,Category B,722,716,1661,76612
2015-04,1,Category C,188,183,290,64001
2015-04,1,Category D,286,278,442,6312
2015-04,1,Category E,187,165,311,78000
2015-04,2,Category A,987,979,2055,67601
2015-04,2,Category B,728,708,1525,78001
2015-04,2,Category C,194,192,284,53001
2015-04,2,Category D,285,277,376,6801
2015-04,2,Category E,176,163,331,79500
2015-05,1,Category A,1444,1438,2891,68589
2015-05,1,Category B,934,934,1631,77600
2015-05,1,Category C,373,370,545,50098
2015-05,1,Category D,334,321,462,6512
2015-05,1,Category E,292,290,445,78004
2015-05,2,Category A,1434,1431,2351,66590
2015-05,2,Category B,948,948,1401,75002
2015-05,2,Category C,370,365,546,52001
2015-05,2,Category D,334,298,433,6501
2015-05,2,Category E,283,281,364,78001
2015-06,1,Category A,1432,1393,1943,66000
2015-06,1,Category B,929,923,1384,75000
2015-06,1,Category C,371,369,508,50900
2015-06,1,Category D,339,336,430,6509
2015-06,1,Category E,272,267,392,75801
2015-06,2,Category A,1429,1421,1766,61000
2015-06,2,Category B,928,926,1144,71509
2015-06,2,Category C,373,370,481,50502
2015-06,2,Category D,363,359,448,6401
2015-06,2,Category E,272,269,373,74501
2015-07,1,Category A,1466,1464,1891,58700
2015-07,1,Category B,934,933,1225,65501
2015-07,1,Category C,370,370,476,50001
2015-07,1,Category D,330,328,425,6508
2015-07,1,Category E,274,272,411,69001
2015-07,2,Category A,1435,1365,1966,55889
2015-07,2,Category B,930,929,1218,58109
2015-07,2,Category C,371,371,455,50002
2015-07,2,Category D,331,320,486,6312
2015-07,2,Category E,272,270,441,60101
2015-08,1,Category A,1688,1687,2446,56209
2015-08,1,Category B,1057,1054,1634,60789
2015-08,1,Category C,183,183,263,49302
2015-08,1,Category D,356,356,418,6201
2015-08,1,Category E,363,361,607,57885
2015-08,2,Category A,1756,1756,2597,57498
2015-08,2,Category B,1058,1056,1551,62140
2015-08,2,Category C,182,182,282,46501
2015-08,2,Category D,366,319,527,6112
2015-08,2,Category E,363,356,609,61001
2015-09,1,Category A,1688,1688,2553,57089
2015-09,1,Category B,1059,1058,1628,62101
2015-09,1,Category C,182,182,371,46801
2015-09,1,Category D,355,310,473,6512
2015-09,1,Category E,363,358,580,61010
2015-09,2,Category A,1687,1684,2276,55399
2015-09,2,Category B,1058,1041,1371,60001
2015-09,2,Category C,182,172,356,45289
2015-09,2,Category D,402,402,509,6158
2015-09,2,Category E,368,368,542,61300
2015-10,1,Category A,1687,1679,2210,56001
2015-10,1,Category B,1057,1044,1373,58190
2015-10,1,Category C,182,181,331,44890
2015-10,1,Category D,400,398,438,6201
2015-10,1,Category E,366,360,582,58801
2015-10,2,Category A,1690,1684,2229,57301
2015-10,2,Category B,1073,1069,1367,59889
2015-10,2,Category C,192,186,340,42303
2015-10,2,Category D,355,353,430,6302
2015-10,2,Category E,361,356,584,60000
2015-11,1,Category A,1664,1623,2009,56001
2015-11,1,Category B,1037,1031,1267,57501
2015-11,1,Category C,241,240,372,43809
2015-11,1,Category D,329,301,402,5912
2015-11,1,Category E,367,363,505,60689
2015-11,2,Category A,1662,1650,2140,59200
2015-11,2,Category B,1029,1026,1388,61103
2015-11,2,Category C,247,244,389,45890
2015-11,2,Category D,329,324,436,6502
2015-11,2,Category E,365,365,519,62019
2015-12,1,Category A,1698,1696,2132,56989
2015-12,1,Category B,1031,1028,1324,60001
2015-12,1,Category C,241,236,345,48101
2015-12,1,Category D,355,354,414,6501
2015-12,1,Category E,364,362,495,60003
2015-12,2,Category A,1669,1667,1978,54301
2015-12,2,Category B,1027,1025,1200,55001
2015-12,2,Category C,244,243,311,46001
2015-12,2,Category D,332,332,394,6600
2015-12,2,Category E,360,360,512,57501
2016-01,1,Category A,1659,1649,2013,45002
2016-01,1,Category B,1027,1019,1262,54920
2016-01,1,Category C,246,245,353,42036
2016-01,1,Category D,328,317,409,6889
2016-01,1,Category E,362,361,498,55089
2016-01,2,Category A,1659,1638,3437,51301
2016-01,2,Category B,1026,1026,1334,50089
2016-01,2,Category C,242,239,387,46502
2016-01,2,Category D,327,322,415,6512
2016-01,2,Category E,360,350,713,51000
2016-02,1,Category A,2038,2033,2972,46651
2016-02,1,Category B,1216,1216,1624,38610
2016-02,1,Category C,164,164,229,45036
2016-02,1,Category D,368,368,495,6503
2016-02,1,Category E,446,443,824,44001
2016-02,2,Category A,2049,2025,2965,43000
2016-02,2,Category B,1208,1197,2898,46970
2016-02,2,Category C,165,160,239,45001
2016-02,2,Category D,362,361,454,6353
2016-02,2,Category E,456,450,873,45009
2016-03,1,Category A,2033,1957,3518,45000
2016-03,1,Category B,1209,1200,2706,47604
2016-03,1,Category C,162,160,259,48890
2016-03,1,Category D,357,356,430,6503
2016-03,1,Category E,449,312,951,48002
2016-03,2,Category A,2053,2020,3836,45504
2016-03,2,Category B,1220,1218,2491,46502
2016-03,2,Category C,167,166,226,46502
2016-03,2,Category D,357,356,429,6589
2016-03,2,Category E,452,445,912,46667
2016-04,1,Category A,2105,2103,3719,46009
2016-04,1,Category B,1218,1218,2247,47000
2016-04,1,Category C,164,161,235,44213
2016-04,1,Category D,357,356,455,6503
2016-04,1,Category E,583,346,1397,47510
2016-04,2,Category A,2062,2061,3327,47300
2016-04,2,Category B,1211,1136,2364,49602
2016-04,2,Category C,163,162,241,43002
2016-04,2,Category D,357,341,437,6501
2016-04,2,Category E,453,433,834,49501
2016-05,1,Category A,2218,2217,3446,47889
2016-05,1,Category B,1462,1454,2435,51010
2016-05,1,Category C,232,232,324,42302
2016-05,1,Category D,399,389,519,6302
2016-05,1,Category E,750,728,1380,49000
2016-05,2,Category A,2217,2182,3227,47020
2016-05,2,Category B,1537,1536,2322,49156
2016-05,2,Category C,229,229,355,43002
2016-05,2,Category D,414,389,500,6303
2016-05,2,Category E,534,510,815,49700
2016-06,1,Category A,2218,2213,4545,53694
2016-06,1,Category B,1470,1463,3436,56000
2016-06,1,Category C,228,219,347,46434
2016-06,1,Category D,407,395,529,6302
2016-06,1,Category E,536,533,860,55100
2016-06,2,Category A,2252,2197,3957,55200
2016-06,2,Category B,1463,1462,2914,57010
2016-06,2,Category C,228,226,342,48002
2016-06,2,Category D,422,389,495,6303
2016-06,2,Category E,538,531,1009,57390
2016-07,1,Category A,2222,2212,3194,52301
2016-07,1,Category B,1469,1469,2547,56089
2016-07,1,Category C,237,235,310,47889
2016-07,1,Category D,409,365,525,6012
2016-07,1,Category E,517,517,750,56002
2016-07,2,Category A,2272,2246,3195,53000
2016-07,2,Category B,1463,1463,2439,57508
2016-07,2,Category C,230,225,344,49890
2016-07,2,Category D,430,424,586,6302
2016-07,2,Category E,521,500,821,57501
2016-08,1,Category A,2018,1959,2712,52503
2016-08,1,Category B,1336,1300,2156,57903
2016-08,1,Category C,177,177,245,48302
2016-08,1,Category D,403,400,558,6206
2016-08,1,Category E,429,400,610,58201
2016-08,2,Category A,2034,2034,2803,53334
2016-08,2,Category B,1336,1334,2088,56500
2016-08,2,Category C,180,178,236,48001
2016-08,2,Category D,365,321,541,6352
2016-08,2,Category E,450,450,618,56956
2016-09,1,Category A,2067,2011,2739,51506
2016-09,1,Category B,1372,1358,2183,57002
2016-09,1,Category C,175,175,260,49801
2016-09,1,Category D,362,334,521,6452
2016-09,1,Category E,458,450,723,56889
2016-09,2,Category A,2008,1993,2610,50000
2016-09,2,Category B,1338,1334,2017,55501
2016-09,2,Category C,177,165,237,49890
2016-09,2,Category D,403,402,478,6501
2016-09,2,Category E,429,429,592,55201
2016-10,1,Category A,2064,1979,2938,51507
2016-10,1,Category B,1350,1246,1785,53001
2016-10,1,Category C,176,172,232,48702
2016-10,1,Category D,387,359,498,6353
2016-10,1,Category E,436,435,642,54200
2016-10,2,Category A,2023,2021,2584,50991
2016-10,2,Category B,1340,1329,1768,56410
2016-10,2,Category C,188,187,252,45589
2016-10,2,Category D,360,356,430,6354
2016-10,2,Category E,429,428,678,56340
2016-11,1,Category A,1929,1929,2800,52668
2016-11,1,Category B,1347,1345,2012,56206
2016-11,1,Category C,185,181,283,48001
2016-11,1,Category D,399,396,457,6311
2016-11,1,Category E,401,388,641,56000
2016-11,2,Category A,1846,1846,2536,50951
2016-11,2,Category B,1254,1253,1708,53001
2016-11,2,Category C,182,181,286,49002
2016-11,2,Category D,375,331,520,6212
2016-11,2,Category E,401,397,531,54901
2016-12,1,Category A,1844,1812,2335,48000
2016-12,1,Category B,1245,1237,1494,46229
2016-12,1,Category C,185,183,262,51209
2016-12,1,Category D,374,368,436,6113
2016-12,1,Category E,413,411,643,50010
2016-12,2,Category A,1844,1843,2554,49751
2016-12,2,Category B,1244,1242,2052,51109
2016-12,2,Category C,182,176,274,49500
2016-12,2,Category D,415,408,484,6101
2016-12,2,Category E,404,404,668,50389
2017-01,1,Category A,1877,1870,2260,50101
2017-01,1,Category B,1252,1243,1835,53106
2017-01,1,Category C,183,180,271,46302
2017-01,1,Category D,376,374,438,6053
2017-01,1,Category E,401,394,648,53001
2017-01,2,Category A,1846,1766,2437,50889
2017-01,2,Category B,1246,1226,1967,52807
2017-01,2,Category C,186,173,254,47001
2017-01,2,Category D,377,331,412,6052
2017-01,2,Category E,400,381,662,52600
2017-02,1,Category A,2060,2051,2691,48401
2017-02,1,Category B,1366,1352,1783,48209
2017-02,1,Category C,164,155,268,48901
2017-02,1,Category D,348,326,534,6412
2017-02,1,Category E,488,488,805,48556
2017-02,2,Category A,2133,2089,2926,49430
2017-02,2,Category B,1377,1377,2126,50621
2017-02,2,Category C,174,171,249,49810
2017-02,2,Category D,392,384,753,6801
2017-02,2,Category E,500,483,800,51000
2017-03,1,Category A,2061,2045,3190,50789
2017-03,1,Category B,1371,1368,2298,53300
2017-03,1,Category C,170,170,216,49002
2017-03,1,Category D,368,359,546,7483
2017-03,1,Category E,482,478,763,53001
2017-03,2,Category A,2096,2096,2961,51765
2017-03,2,Category B,1357,1345,2081,54000
2017-03,2,Category C,164,163,251,47036
2017-03,2,Category D,355,354,453,8081
2017-03,2,Category E,499,499,783,54501
2017-04,1,Category A,2068,2061,2486,52000
2017-04,1,Category B,1360,1360,1970,54405
2017-04,1,Category C,162,162,351,45906
2017-04,1,Category D,355,354,482,7589
2017-04,1,Category E,486,485,748,54556
2017-04,2,Category A,2052,2030,2442,51600
2017-04,2,Category B,1369,1365,2000,54406
2017-04,2,Category C,163,162,509,26501
2017-04,2,Category D,347,325,512,6712
2017-04,2,Category E,482,477,712,54616
2017-05,1,Category A,1905,1905,2240,51106
2017-05,1,Category B,1320,1316,1996,55414
2017-05,1,Category C,1084,1078,2586,26029
2017-05,1,Category D,455,433,567,6301
2017-05,1,Category E,529,528,755,55000
2017-05,2,Category A,1920,1913,2601,46489
2017-05,2,Category B,1325,1325,1725,53001
2017-05,2,Category C,1085,1084,2492,30600
2017-05,2,Category D,476,470,602,6101
2017-05,2,Category E,532,506,731,52000
2017-06,1,Category A,1898,1893,2245,45201
2017-06,1,Category B,1325,1324,1582,50110
2017-06,1,Category C,1091,1087,2309,38501
2017-06,1,Category D,476,455,743,6101
2017-06,1,Category E,528,528,878,50526
2017-06,2,Category A,1906,1898,2302,42801
2017-06,2,Category B,1321,1320,1651,47501
2017-06,2,Category C,1086,1085,2125,36879
2017-06,2,Category D,459,360,931,6001
2017-06,2,Category E,553,519,925,48001
2017-07,1,Category A,1904,1902,2296,42801
2017-07,1,Category B,1322,1321,1910,49802
2017-07,1,Category C,1088,1078,2189,40212
2017-07,1,Category D,474,377,819,6001
2017-07,1,Category E,528,521,872,49899
2017-07,2,Category A,1907,1905,2389,44002
2017-07,2,Category B,1322,1314,1784,50001
2017-07,2,Category C,1085,1084,1943,42809
2017-07,2,Category D,552,424,1044,5851
2017-07,2,Category E,562,516,941,50101
2017-08,1,Category A,1817,1812,2403,46778
2017-08,1,Category B,1286,1281,1978,53711
2017-08,1,Category C,454,445,742,42801
2017-08,1,Category D,574,508,879,5701
2017-08,1,Category E,547,545,822,52751
2017-08,2,Category A,1817,1817,2148,42900
2017-08,2,Category B,1293,1290,1683,51000
2017-08,2,Category C,445,436,836,42004
2017-08,2,Category D,605,588,1069,3512
2017-08,2,Category E,586,562,781,50000
2017-09,1,Category A,1820,1806,2195,36001
2017-09,1,Category B,1290,1290,1704,49000
2017-09,1,Category C,453,406,695,43002
2017-09,1,Category D,543,535,871,5402
2017-09,1,Category E,543,543,805,48005
2017-09,2,Category A,1815,1815,3469,42902
2017-09,2,Category B,1288,1288,1859,49189
2017-09,2,Category C,453,453,706,46890
2017-09,2,Category D,494,493,727,5501
2017-09,2,Category E,565,563,905,49012
2017-10,1,Category A,1829,1827,2808,41761
2017-10,1,Category B,1285,1284,1646,48109
2017-10,1,Category C,492,492,723,48902
2017-10,1,Category D,485,484,721,5010
2017-10,1,Category E,540,528,869,49000
2017-10,2,Category A,1815,1809,2391,41617
2017-10,2,Category B,1285,1277,1718,49996
2017-10,2,Category C,445,443,611,51890
2017-10,2,Category D,478,449,687,4903
2017-10,2,Category E,542,539,809,52000
2017-11,1,Category A,1683,1683,3430,47112
2017-11,1,Category B,1376,1375,2515,57414
2017-11,1,Category C,242,200,375,58036
2017-11,1,Category D,509,502,683,5502
2017-11,1,Category E,524,495,867,57000
2017-11,2,Category A,1686,1679,2721,46791
2017-11,2,Category B,1383,1383,2173,57390
2017-11,2,Category C,244,241,356,57701
2017-11,2,Category D,538,533,708,5992
2017-11,2,Category E,516,498,844,57501
2017-12,1,Category A,1680,1667,2158,42339
2017-12,1,Category B,1375,1375,1805,53711
2017-12,1,Category C,285,279,454,42000
2017-12,1,Category D,516,500,791,6552
2017-12,1,Category E,542,537,831,54334
2017-12,2,Category A,1687,1654,1970,38200
2017-12,2,Category B,1374,1367,1634,47002
2017-12,2,Category C,246,232,482,45112
2017-12,2,Category D,514,458,743,7501
2017-12,2,Category E,531,529,1003,48011
2018-01,1,Category A,1693,1693,2264,41400
2018-01,1,Category B,1374,1368,1811,45289
2018-01,1,Category C,249,247,458,40101
2018-01,1,Category D,525,413,919,7701
2018-01,1,Category E,518,518,923,47390
2018-01,2,Category A,1713,1708,1938,36890
2018-01,2,Category B,1381,1380,1654,42661
2018-01,2,Category C,257,247,399,39000
2018-01,2,Category D,565,500,786,8001
2018-01,2,Category E,515,495,817,44000
2018-02,1,Category A,1557,1534,2389,40000
2018-02,1,Category B,1396,1396,1831,42322
2018-02,1,Category C,249,249,486,38303
2018-02,1,Category D,624,608,933,8451
2018-02,1,Category E,566,562,790,39903
2018-02,2,Category A,1562,1561,2073,36810
2018-02,2,Category B,1391,1379,1744,39000
2018-02,2,Category C,257,256,489,36859
2018-02,2,Category D,577,568,1073,7667
2018-02,2,Category E,586,581,1216,38801
2018-03,1,Category A,1580,1572,2405,38830
2018-03,1,Category B,1390,1390,1731,39001
2018-03,1,Category C,247,202,446,36003
2018-03,1,Category D,528,525,885,8009
2018-03,1,Category E,571,525,967,39000
2018-03,2,Category A,1559,1551,2117,38000
2018-03,2,Category B,1402,1374,1639,37010
2018-03,2,Category C,247,234,378,35001
2018-03,2,Category D,522,517,803,7602
2018-03,2,Category E,571,564,977,38000
2018-04,1,Category A,1566,1564,1888,37000
2018-04,1,Category B,1389,1388,1689,37605
2018-04,1,Category C,292,290,500,34001
2018-04,1,Category D,516,483,953,7114
2018-04,1,Category E,612,604,967,38039
2018-04,2,Category A,1566,1566,2027,38510
2018-04,2,Category B,1417,1414,1919,37330
2018-04,2,Category C,260,181,461,34202
2018-04,2,Category D,518,515,727,7115
2018-04,2,Category E,573,571,1027,38389
2018-05,1,Category A,1435,1428,1836,38941
2018-05,1,Category B,1280,1267,2155,38501
2018-05,1,Category C,308,188,611,33190
2018-05,1,Category D,560,515,1171,7204
2018-05,1,Category E,565,562,1008,38600
2018-05,2,Category A,1434,1422,1805,38001
2018-05,2,Category B,1283,1247,1915,37989
2018-05,2,Category C,385,382,786,29901
2018-05,2,Category D,529,529,898,7115
2018-05,2,Category E,558,533,836,38700
2018-06,1,Category A,1441,1440,1696,36426
2018-06,1,Category B,1293,1285,1727,36000
2018-06,1,Category C,425,417,685,29902
2018-06,1,Category D,572,487,828,7001
2018-06,1,Category E,559,525,927,37000
2018-06,2,Category A,1446,1437,1818,34110
2018-06,2,Category B,1316,1311,1729,33900
2018-06,2,Category C,308,293,548,32001
2018-06,2,Category D,527,517,771,6889
2018-06,2,Category E,581,580,868,34400
2018-07,1,Category A,1435,1427,1626,25000
2018-07,1,Category B,1288,1288,1637,31000
2018-07,1,Category C,313,272,535,31092
2018-07,1,Category D,612,587,807,6514
2018-07,1,Category E,591,582,975,31001
2018-07,2,Category A,1443,1412,3100,32699
2018-07,2,Category B,1285,1278,1919,32551
2018-07,2,Category C,320,249,538,30889
2018-07,2,Category D,537,533,772,6189
2018-07,2,Category E,558,558,1082,32809
2018-08,1,Category A,1672,1672,3633,33798
2018-08,1,Category B,1265,1256,2132,34381
2018-08,1,Category C,379,330,549,30389
2018-08,1,Category D,845,791,1208,5514
2018-08,1,Category E,536,524,896,33420
2018-08,2,Category A,1695,1695,2948,31997
2018-08,2,Category B,1272,1259,2031,32429
2018-08,2,Category C,409,204,635,29902
2018-08,2,Category D,824,823,1176,4889
2018-08,2,Category E,527,525,927,32311
2018-09,1,Category A,1664,1661,2488,30209
2018-09,1,Category B,1274,1268,1959,32001
2018-09,1,Category C,386,381,612,27001
2018-09,1,Category D,874,867,1213,4390
2018-09,1,Category E,540,506,1006,31801
2018-09,2,Category A,1664,1655,2059,28000
2018-09,2,Category B,1278,1269,1859,31307
2018-09,2,Category C,542,529,921,27104
2018-09,2,Category D,821,821,1098,4214
2018-09,2,Category E,530,519,928,32000
2018-10,1,Category A,1668,1665,2059,28457
2018-10,1,Category B,1271,1241,1886,31301
2018-10,1,Category C,342,340,522,28501
2018-10,1,Category D,827,809,1140,4109
2018-10,1,Category E,561,543,1066,32552
2018-10,2,Category A,1674,1672,1811,25556
2018-10,2,Category B,1273,1267,1856,31302
2018-10,2,Category C,350,349,470,29501
2018-10,2,Category D,819,819,1201,3951
2018-10,2,Category E,539,527,779,32900
2018-11,1,Category A,1819,1757,2849,28199
2018-11,1,Category B,1265,1262,2142,32302
2018-11,1,Category C,332,332,460,29501
2018-11,1,Category D,1121,1104,1543,2509
2018-11,1,Category E,557,544,862,32000
2018-11,2,Category A,1818,1744,2231,25000
2018-11,2,Category B,1241,1234,1786,31101
2018-11,2,Category C,331,327,580,27509
2018-11,2,Category D,1103,1093,1423,2989
2018-11,2,Category E,552,546,930,30959
2018-12,1,Category A,1878,1878,2177,23568
2018-12,1,Category B,1239,1230,1780,31001
2018-12,1,Category C,329,328,489,27009
2018-12,1,Category D,1121,1113,1483,3399
2018-12,1,Category E,552,546,1021,30851
2018-12,2,Category A,1890,1887,2729,25501
2018-12,2,Category B,1243,1235,1804,31001
2018-12,2,Category C,333,318,503,27001
2018-12,2,Category D,1114,1114,1375,3789
2018-12,2,Category E,545,545,778,31809
2019-01,1,Category A,1815,1804,2707,25920
2019-01,1,Category B,1245,1242,1818,32200
2019-01,1,Category C,330,308,472,27002
2019-01,1,Category D,1112,1103,1396,3610
2019-01,1,Category E,546,540,776,32909
2019-01,2,Category A,1818,1818,2864,26170
2019-01,2,Category B,1244,1230,2119,33989
2019-01,2,Category C,344,342,537,26230
2019-01,2,Category D,1104,1104,1473,2889
2019-01,2,Category E,540,530,797,33689
2019-02,1,Category A,1662,1653,2371,25689
2019-02,1,Category B,1202,1169,1937,34509
2019-02,1,Category C,326,324,466,26378
2019-02,1,Category D,834,834,1164,3709
2019-02,1,Category E,403,392,545,35310
2019-02,2,Category A,1650,1650,2261,26301
2019-02,2,Category B,1214,1213,1993,35403
2019-02,2,Category C,306,306,433,26914
2019-02,2,Category D,826,817,1100,3689
2019-02,2,Category E,407,407,658,36667
2019-03,1,Category A,1659,1653,2213,26309
2019-03,1,Category B,1233,1230,1903,36961
2019-03,1,Category C,306,301,443,27010
2019-03,1,Category D,825,822,1175,3602
2019-03,1,Category E,408,405,689,37620
2019-03,2,Category A,1650,1647,2204,26659
2019-03,2,Category B,1201,1195,1878,39401
2019-03,2,Category C,304,304,411,27021
2019-03,2,Category D,834,825,1039,3469
2019-03,2,Category E,397,396,730,41000
2019-04,1,Category A,1656,1650,2338,29159
2019-04,1,Category B,1202,1202,1782,43102
2019-04,1,Category C,309,304,431,27589
2019-04,1,Category D,829,803,1193,3501
2019-04,1,Category E,400,391,648,48209
2019-04,2,Category A,1653,1603,2249,33199
2019-04,2,Category B,1205,1181,1634,48000
2019-04,2,Category C,304,284,560,32001
2019-04,2,Category D,835,834,1129,3452
2019-04,2,Category E,398,391,667,52410
